Time,Time Code,Country Name,Country Code,"Population ages 10-14, female ","Population ages 10-14, male ","Population ages 20-24, female ","Population ages 20-24, male","Population ages 30-34, female ","Population ages 30-34, male ","Population ages 40-44, female ","Population ages 40-44, male ","Population ages 50-54, female ","Population ages 50-54, male ","Population ages 65 and above, female ","Population ages 65 and above, male"
2019,YR2019,Afghanistan,AFG,13.51315874,13.38952152,9.961009138,9.988106849,6.14755378,6.430479033,4.097513887,4.272471397,2.620193463,2.612504517,2.882233877,2.363156433
2019,YR2019,Albania,ALB,5.478358395,6.127823778,8.085760271,8.261469813,6.886434608,8.088029261,5.617101139,5.194012756,6.903901203,6.233360717,15.04269769,13.39221495
2019,YR2019,Algeria,DZA,8.324689951,8.489353354,7.144027983,7.28309575,8.681971149,8.619346155,6.789647731,6.677523232,4.723239327,4.592930301,6.750311265,6.359306851
2019,YR2019,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Angola,AGO,13.09818339,13.24566067,8.76425638,8.740961051,6.258883419,6.132921904,4.114095813,3.961275036,2.458228963,2.330429662,2.41000291,1.984219658
2019,YR2019,Antigua and Barbuda,ATG,6.704599714,7.350963693,7.490450422,8.179121043,7.369091198,7.156730913,7.408881108,6.838701415,7.16218367,6.689291584,9.422250517,8.657232503
2019,YR2019,Argentina,ARG,7.669148874,8.349701702,7.498040477,8.090249647,7.150474776,7.487550601,6.744031848,6.814146428,5.154307506,4.97166049,12.97891475,9.420209268
2019,YR2019,Armenia,ARM,5.737462647,7.4076257,5.724056614,6.93115422,9.010513521,9.033048246,6.376738874,6.023062398,6.183819685,5.267636956,13.17889584,9.574783884
2019,YR2019,Aruba,ABW,6.118101921,6.972226077,6.746379795,7.616517654,4.727298763,5.20984081,6.785759035,6.179251829,8.108543505,7.634359574,15.42950221,12.54088773
2019,YR2019,Australia,AUS,6.075179762,6.446681147,6.232057521,6.533811488,7.372393166,7.444154639,6.423372826,6.401920883,6.212487321,6.110381617,16.81245386,15.02307608
2019,YR2019,Austria,AUT,4.508584764,4.947634361,5.507258683,6.066589861,6.663817105,7.081653203,6.171772706,6.409653965,7.922911358,8.217640575,21.26933244,16.81338419
2019,YR2019,Azerbaijan,AZE,6.214927408,7.210665265,7.14135955,7.827232719,9.348941798,9.184075869,6.535204998,6.326545097,6.710089758,6.042783713,7.493533735,5.395872351
2019,YR2019,"Bahamas, The",BHS,7.953319751,8.388733288,8.358301374,8.840564393,6.971576382,7.113565502,7.242729306,7.081329599,6.616530841,6.345188395,8.202500799,6.722507002
2019,YR2019,Bahrain,BHR,7.78437395,4.37705075,7.129664528,5.762435805,11.59512728,19.00896571,7.727583578,8.898205057,4.97214202,4.711712301,3.221872991,2.125811886
2019,YR2019,Bangladesh,BGD,9.246109914,9.435089506,9.280343729,9.343033595,8.591837337,8.141060231,6.836029745,6.557783915,4.880384447,5.070051891,5.191952746,5.169026364
2019,YR2019,Barbados,BRB,5.936251754,6.587279289,6.257422002,6.856706504,6.191298715,6.51379914,6.565097701,6.715509354,6.988151787,6.801956589,17.54898521,14.82209879
2019,YR2019,Belarus,BLR,4.589216894,5.551723409,4.42725734,5.364992444,7.79905615,9.363616962,6.581103676,7.252461583,6.585200661,6.574107261,19.14580437,10.67041553
2019,YR2019,Belgium,BEL,5.532540576,5.966423058,5.556683283,5.96889177,6.373949076,6.52183086,6.334895202,6.694045448,6.759923519,7.149076448,21.1183993,16.85074917
2019,YR2019,Belize,BLZ,9.584842148,10.01436064,9.922986688,9.947447254,8.161370939,7.791291995,5.948385781,5.574914685,4.366807773,4.299957278,4.749324221,4.986076868
2019,YR2019,Benin,BEN,12.10705097,12.48434969,9.093681021,9.293756713,6.442534089,6.42645643,4.483565275,4.348580337,3.062592483,2.884291567,3.736259274,2.791985274
2019,YR2019,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Bhutan,BTN,9.23220001,8.407236959,9.856672867,9.934523692,9.430489692,9.869343657,5.970474387,6.591577949,4.186984377,4.253491082,5.855131234,6.304440143
2019,YR2019,Bolivia,BOL,9.903529979,10.24653735,9.03667591,9.255155754,7.39893025,7.441175539,5.692552757,5.628233457,4.123369165,3.998383282,7.919904296,6.762029486
2019,YR2019,Bosnia and Herzegovina,BIH,5.171657269,5.650176676,6.278771095,6.969821233,6.562585538,7.155249354,6.463844237,6.914217537,7.220049412,7.243819423,19.35442308,14.95850752
2019,YR2019,Botswana,BWA,10.06382888,10.98072373,8.40695132,9.086486506,8.175022087,7.921437265,6.419454819,5.920029871,3.461285303,3.18692129,5.045112295,3.641541814
2019,YR2019,Brazil,BRA,6.918291926,7.449045223,7.915661768,8.398456193,8.050585279,8.312886641,7.250413704,7.252729985,6.143926296,5.888108489,10.35864346,8.106377941
2019,YR2019,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Brunei Darussalam,BRN,7.310118379,7.184574766,7.99418186,8.220213173,8.634081243,9.175845179,8.037385869,8.157541492,6.376911777,6.124934439,5.5560356,4.888391071
2019,YR2019,Bulgaria,BGR,4.928080425,5.517471193,4.17942686,4.734336572,6.533107893,7.385059178,7.296233427,8.18860524,6.540802203,7.020182621,24.70556765,17.59801462
2019,YR2019,Burkina Faso,BFA,12.77593821,13.28713075,8.99464487,9.293870754,6.291032022,6.3400801,4.296764305,4.13860222,2.790062012,2.453089712,2.917361971,1.895923185
2019,YR2019,Burundi,BDI,12.43262385,12.71231903,8.895329659,8.951199058,7.334586117,7.302026163,3.631881057,3.531533901,2.383461735,2.075804321,2.563705038,2.056360321
2019,YR2019,Cabo Verde,CPV,9.199342826,9.268356301,8.514421322,8.773855584,8.862358525,9.871176223,5.837531946,6.55747801,4.673603505,4.379138953,6.066812705,3.341593126
2019,YR2019,Cambodia,KHM,9.308513222,10.18299905,9.104583408,9.876190514,7.986405785,7.832055316,3.58744655,3.286442616,4.580493503,4.182885228,5.568694013,3.825401709
2019,YR2019,Cameroon,CMR,12.41767164,12.59705618,9.094057346,9.148698509,6.995469162,6.998609266,4.449764808,4.460442129,2.740494907,2.6781911,3.01979081,2.427625563
2019,YR2019,Canada,CAN,5.099811646,5.423626682,6.240302427,6.632415653,6.878562144,6.984336714,6.470290489,6.492366918,6.566366892,6.717275554,18.93577398,16.340662
2019,YR2019,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Central African Republic,CAF,13.69280371,14.02971038,9.681072168,9.880343014,5.683255014,5.797643085,3.841081796,3.803870197,2.75517444,2.589102851,3.368117914,2.251769047
2019,YR2019,Chad,TCD,13.28083132,13.37663535,9.247141376,9.330895637,5.947778462,5.98774804,3.66302045,3.695649607,2.237452356,2.150901662,2.71089708,2.271697761
2019,YR2019,Channel Islands,CHI,4.714400644,5.168085955,5.786691185,6.29061393,6.669348351,6.928707157,6.781979083,6.867712952,7.922077922,7.848312103,18.96333755,16.21507495
2019,YR2019,Chile,CHL,6.358276846,6.771679555,7.349904441,7.798293986,7.723224166,8.180534018,6.813061581,7.005478831,6.420200242,6.336205522,13.34145868,10.37972017
2019,YR2019,China,CHN,5.535714505,6.123239065,5.96139077,6.38320575,8.833293813,8.910085033,6.984963849,6.954024745,8.552534303,8.284975686,12.49820598,10.49846481
2019,YR2019,Colombia,COL,7.51666748,8.142258267,8.486649432,9.085527718,7.760452661,8.046871968,6.795301693,6.483524812,5.947206478,5.517441635,9.576758207,7.92467408
2019,YR2019,Comoros,COM,11.59573232,11.78910091,9.125855801,9.244891778,7.29105651,7.331376249,4.842048847,4.802777195,3.259335849,3.165117309,3.355854307,2.759954335
2019,YR2019,"Congo, Dem. Rep.",COD,12.70386218,12.93016155,8.572375005,8.620009976,5.963488923,5.935522257,4.074426753,4.006241773,2.746406177,2.643972106,3.298970946,2.733916259
2019,YR2019,"Congo, Rep.",COG,12.24846332,12.44806237,8.521186746,8.59152372,6.483421248,6.512827841,5.327078443,5.332188715,3.379282074,3.33342264,3.10803796,2.333779124
2019,YR2019,Costa Rica,CRI,6.875108415,7.205081864,7.892485689,8.214620269,8.346382725,8.554793405,6.700456471,6.693256279,6.183550084,5.970492428,10.58477906,9.175517207
2019,YR2019,Cote d'Ivoire,CIV,12.28363093,12.13965618,9.722203475,9.46734621,6.630528377,6.466222288,4.418008361,4.492359687,2.661197136,2.918321167,2.740970502,3.002942916
2019,YR2019,Croatia,HRV,4.748295086,5.376793642,5.478805616,6.191762374,6.073399605,6.737034645,6.587116476,7.287884765,6.797555838,7.093564621,24.10184817,17.37469316
2019,YR2019,Cuba,CUB,5.168611087,5.545984241,6.037465937,6.481586118,7.098659622,7.453613479,5.744646096,5.958107495,9.027148274,8.759653642,16.80717883,14.30578003
2019,YR2019,Curacao,CUW,5.894338854,7.201267913,5.356637499,6.53667892,5.697370357,5.517820042,6.085647336,5.427254808,7.541403004,6.981514038,18.56711079,15.52261467
2019,YR2019,Cyprus,CYP,5.456908909,5.814312436,7.340511984,8.244993718,7.870150198,8.346112195,7.333503538,6.936126829,6.374180888,6.119837076,15.28625327,12.81017592
2019,YR2019,Czech Republic,CZE,5.038034773,5.477577962,4.410670552,4.766712263,6.459675956,7.048188923,8.419634214,9.150219327,6.12813468,6.536234837,22.52439632,16.99040495
2019,YR2019,Denmark,DNK,5.677545177,6.063584967,6.364712348,6.78840648,5.796351395,6.07111196,6.30920283,6.378464159,7.175337373,7.469215994,21.38911621,18.52532275
2019,YR2019,Djibouti,DJI,8.553107602,9.535948057,8.90578627,9.488482206,8.841012976,8.651286168,6.554883993,6.746401483,4.3361279,4.116051076,5.0445181,4.217038092
2019,YR2019,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Dominican Republic,DOM,8.893791812,9.262666044,8.660857485,8.920207566,7.601048177,7.536471819,6.191102188,6.091724532,5.073073257,4.839795326,7.767387296,6.828764052
2019,YR2019,Ecuador,ECU,8.75322031,9.1251618,8.79067207,9.066960229,7.673752788,7.725689021,6.261826038,6.144523316,4.931943058,4.750619844,7.924410094,6.820388777
2019,YR2019,"Egypt, Arab Rep.",EGY,9.128284422,9.483605128,8.23103944,8.435263737,7.955348944,7.947459475,5.797413362,5.797252227,4.213749925,4.012424521,5.883207364,4.682100379
2019,YR2019,El Salvador,SLV,8.320017772,9.81390529,9.51088232,10.38019709,7.405143203,6.874751311,6.268969392,5.428079354,4.988255777,4.217535961,9.281449433,7.548837334
2019,YR2019,Equatorial Guinea,GNQ,11.36909022,9.327388525,9.213181236,10.30029596,8.290667415,11.30517376,4.27229353,5.291427829,2.703937,2.627805201,2.825997785,2.103544201
2019,YR2019,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Estonia,EST,5.118286523,6.073479236,4.287841745,5.050061759,6.862149028,8.45639983,6.261882656,7.404257085,5.739868359,6.080181799,24.8253634,14.59802179
2019,YR2019,Eswatini,SWZ,12.40776775,13.01320208,9.307534215,10.44012864,7.699417265,6.563549459,5.478838903,4.501323762,2.14694632,2.8253878,5.026283734,2.960784662
2019,YR2019,Ethiopia,ETH,12.08345823,12.31971859,10.08487116,10.28499024,6.46404957,6.427789841,4.264731269,4.223309961,2.854790255,2.651825051,3.788767446,3.244876385
2019,YR2019,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Fiji,FJI,9.157714421,9.328785987,8.013512652,8.106058422,7.458154516,7.637944913,6.153814613,6.383728898,5.345834586,5.331526813,6.298235064,4.969409636
2019,YR2019,Finland,FIN,5.35460716,5.758852454,5.562988846,6.01204161,5.993620561,6.550797335,5.885704161,6.353306126,6.369491923,6.594981685,24.4663985,19.74890089
2019,YR2019,France,FRA,5.794971778,6.472237112,5.447639009,5.924999145,6.021740004,6.185383975,6.011676097,6.248645894,6.594186495,6.795379491,22.48153762,18.16407267
2019,YR2019,French Polynesia,PYF,8.121602694,8.223786504,7.668749501,7.517032765,8.462694041,7.936844486,6.802232334,6.91487858,6.43719202,6.889435445,9.05053232,8.316371244
2019,YR2019,Gabon,GAB,10.28905106,10.0751949,8.378016966,8.196407134,8.527868896,8.555205606,5.216778915,6.146943749,3.339691256,3.512500542,4.029685311,3.077313884
2019,YR2019,"Gambia, The",GMB,12.20232361,12.59047858,9.507052966,9.503213772,6.637782127,6.431064512,4.169497656,3.848968192,2.86301731,2.559508882,2.604594484,2.516223449
2019,YR2019,Georgia,GEO,5.537491529,6.785699856,5.492346076,6.647223681,7.004383987,7.5849157,6.46636879,6.720528424,6.4325097,6.201623199,18.04302113,11.78894531
2019,YR2019,Germany,DEU,4.322045004,4.778841922,5.145877616,5.760829051,6.224063818,6.819220243,5.85651803,6.091185229,8.081471979,8.359439954,23.93485974,19.1319838
2019,YR2019,Ghana,GHA,11.12944524,11.29402755,9.150119066,9.317008221,7.213387858,7.331861018,5.227862415,5.19848553,3.855864494,3.735591511,3.39539889,2.807268979
2019,YR2019,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Greece,GRC,4.960160752,5.454817801,4.849883704,5.296351342,5.677102202,6.30101624,7.263134051,7.75287325,7.489988622,7.532992771,23.9866925,19.82023219
2019,YR2019,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Grenada,GRD,7.335900389,7.643639457,8.008852742,8.070747528,8.208579243,8.460638713,5.66611487,5.71899479,5.236073125,5.458476589,10.63408666,8.740651473
2019,YR2019,Guam,GUM,7.868884115,8.159929889,7.942504043,8.546016557,6.851480847,6.784940251,5.829250042,5.857621659,5.988558739,6.288712294,11.35074465,9.052903348
